text,sentiment
"This feature is a game changer, awesome work.",positive
"Best purchase I made this year, highly recommend.",positive
"Customer service resolved my issue instantly, love it.",positive
"The service was okay, nothing special.",neutral
"Late delivery and damaged item, so frustrating.",negative
"Amazing support team, very helpful!",positive
I have mixed feelings about this update.,neutral
This is the worst app I have ever used.,negative
The app has some features I use occasionally.,neutral
"It works as expected, nothing more.",neutral
"Really impressed with the quality, five stars.",positive
"It is fine, no strong opinion either way.",neutral
"Terrible customer support, no one replied.",negative
"It is fine, no strong opinion either way.",neutral
This is the worst app I have ever used.,negative
"It is an average app, does the job.",neutral
The price is reasonable for what you get.,neutral
"It is an average app, does the job.",neutral
Worst experience with delivery today.,negative
"Battery drains so fast, very annoying.",negative
"Amazing support team, very helpful!",positive
"I love the new update, it works really well.",positive
"Great experience, will buy again.",positive
"So happy with this product, exceeded expectations.",positive
Very disappointed with this update.,negative
"The product broke after one day, waste of money.",negative
"Late delivery and damaged item, so frustrating.",negative
"Battery drains so fast, very annoying.",negative
"This feature is a game changer, awesome work.",positive
This is the worst app I have ever used.,negative
Very disappointed with this update.,negative
The product arrived on time.,neutral
"Best purchase I made this year, highly recommend.",positive
"This feature is a game changer, awesome work.",positive
"Late delivery and damaged item, so frustrating.",negative
"Customer service resolved my issue instantly, love it.",positive
"Battery drains so fast, very annoying.",negative
Worst experience with delivery today.,negative
"Customer service resolved my issue instantly, love it.",positive
"I love the new update, it works really well.",positive
This is the worst app I have ever used.,negative
"Best purchase I made this year, highly recommend.",positive
I have mixed feelings about this update.,neutral
"The service was okay, nothing special.",neutral
The price is reasonable for what you get.,neutral
This app is slow and keeps crashing.,negative
The delivery was fast and packaging was perfect.,positive
I have mixed feelings about this update.,neutral
"The service was okay, nothing special.",neutral
Worst experience with delivery today.,negative
"Not bad, not great, just okay.",neutral
"This feature is a game changer, awesome work.",positive
"Amazing support team, very helpful!",positive
"Customer service resolved my issue instantly, love it.",positive
"Battery drains so fast, very annoying.",negative
"Amazing support team, very helpful!",positive
"Awful experience, will not buy again.",negative
"Completely useless, do not recommend.",negative
"Not bad, not great, just okay.",neutral
"It is an average app, does the job.",neutral
"It is fine, no strong opinion either way.",neutral
"It is an average app, does the job.",neutral
This app makes my life so much easier.,positive
"Not bad, not great, just okay.",neutral
I have mixed feelings about this update.,neutral
"Great experience, will buy again.",positive
"Completely useless, do not recommend.",negative
"Customer service resolved my issue instantly, love it.",positive
This is the worst app I have ever used.,negative
Worst experience with delivery today.,negative
"Amazing support team, very helpful!",positive
The app has some features I use occasionally.,neutral
"So happy with this product, exceeded expectations.",positive
Delivery took the usual time.,neutral
"Customer service resolved my issue instantly, love it.",positive
"Battery drains so fast, very annoying.",negative
Very disappointed with this update.,negative
Very disappointed with this update.,negative
"Customer service resolved my issue instantly, love it.",positive
"It is an average app, does the job.",neutral
"Great experience, will buy again.",positive
"Amazing support team, very helpful!",positive
"It works as expected, nothing more.",neutral
"Customer service resolved my issue instantly, love it.",positive
"Awful experience, will not buy again.",negative
"It works as expected, nothing more.",neutral
Worst experience with delivery today.,negative
"So happy with this product, exceeded expectations.",positive
"It is fine, no strong opinion either way.",neutral
Delivery took the usual time.,neutral
"It works as expected, nothing more.",neutral
Worst experience with delivery today.,negative
"It is fine, no strong opinion either way.",neutral
"So happy with this product, exceeded expectations.",positive
This app makes my life so much easier.,positive
This app is slow and keeps crashing.,negative
"It is an average app, does the job.",neutral
"It works as expected, nothing more.",neutral
The delivery was fast and packaging was perfect.,positive
"It is fine, no strong opinion either way.",neutral
This is the worst app I have ever used.,negative
"Completely useless, do not recommend.",negative
"Customer service resolved my issue instantly, love it.",positive
This app makes my life so much easier.,positive
The app has some features I use occasionally.,neutral
The app has some features I use occasionally.,neutral
"It is an average app, does the job.",neutral
"The product broke after one day, waste of money.",negative
"Terrible customer support, no one replied.",negative
The app has some features I use occasionally.,neutral
"Really impressed with the quality, five stars.",positive
"Terrible customer support, no one replied.",negative
"Great experience, will buy again.",positive
"Not bad, not great, just okay.",neutral
"Awful experience, will not buy again.",negative
This app makes my life so much easier.,positive
"I love the new update, it works really well.",positive
"The service was okay, nothing special.",neutral
"Awful experience, will not buy again.",negative
"Really impressed with the quality, five stars.",positive
"Great experience, will buy again.",positive
"Awful experience, will not buy again.",negative
"The product broke after one day, waste of money.",negative
"It is fine, no strong opinion either way.",neutral
"Terrible customer support, no one replied.",negative
The delivery was fast and packaging was perfect.,positive
"It works as expected, nothing more.",neutral
"It is fine, no strong opinion either way.",neutral
"Amazing support team, very helpful!",positive
This is the worst app I have ever used.,negative
"Really impressed with the quality, five stars.",positive
This app is slow and keeps crashing.,negative
"Late delivery and damaged item, so frustrating.",negative
"Completely useless, do not recommend.",negative
"Amazing support team, very helpful!",positive
"Late delivery and damaged item, so frustrating.",negative
Very disappointed with this update.,negative
"Late delivery and damaged item, so frustrating.",negative
"Terrible customer support, no one replied.",negative
"The service was okay, nothing special.",neutral
"Awful experience, will not buy again.",negative
I have mixed feelings about this update.,neutral
"It is fine, no strong opinion either way.",neutral
This is the worst app I have ever used.,negative
"Best purchase I made this year, highly recommend.",positive
"Customer service resolved my issue instantly, love it.",positive
"Great experience, will buy again.",positive
Worst experience with delivery today.,negative
"The product broke after one day, waste of money.",negative
"Battery drains so fast, very annoying.",negative
"The service was okay, nothing special.",neutral
The delivery was fast and packaging was perfect.,positive
"So happy with this product, exceeded expectations.",positive
"So happy with this product, exceeded expectations.",positive
This is the worst app I have ever used.,negative
"Really impressed with the quality, five stars.",positive
"This feature is a game changer, awesome work.",positive
The app has some features I use occasionally.,neutral
"Really impressed with the quality, five stars.",positive
Delivery took the usual time.,neutral
I have mixed feelings about this update.,neutral
The app has some features I use occasionally.,neutral
"The service was okay, nothing special.",neutral
"Best purchase I made this year, highly recommend.",positive
"Awful experience, will not buy again.",negative
The product arrived on time.,neutral
This app makes my life so much easier.,positive
"Late delivery and damaged item, so frustrating.",negative
"It is an average app, does the job.",neutral
"So happy with this product, exceeded expectations.",positive
"It is fine, no strong opinion either way.",neutral
This is the worst app I have ever used.,negative
"Really impressed with the quality, five stars.",positive
"I love the new update, it works really well.",positive
I have mixed feelings about this update.,neutral
The product arrived on time.,neutral
Very disappointed with this update.,negative
"Great experience, will buy again.",positive
This app is slow and keeps crashing.,negative
"So happy with this product, exceeded expectations.",positive
"Best purchase I made this year, highly recommend.",positive
"Really impressed with the quality, five stars.",positive
"Awful experience, will not buy again.",negative
"This feature is a game changer, awesome work.",positive
Delivery took the usual time.,neutral
"So happy with this product, exceeded expectations.",positive
"The product broke after one day, waste of money.",negative
"Not bad, not great, just okay.",neutral
"Great experience, will buy again.",positive
This app makes my life so much easier.,positive
"Awful experience, will not buy again.",negative
"Best purchase I made this year, highly recommend.",positive
"I love the new update, it works really well.",positive
This app makes my life so much easier.,positive
